City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Heze,CN,35.24,115.44,66.87,95,89,7.16,overcast clouds,0.0,0
72,Hasaki,JP,35.73,140.83,64.4,100,75,8.05,broken clouds,0.0,0
73,Datong,CN,40.09,113.29,63.1,86,100,4.34,light rain,0.37,0
74,Naco,MX,31.33,-109.95,100.99,14,0,1.99,clear sky,0.0,0
75,Kavieng,PG,-2.57,150.8,82.36,71,98,3.4,overcast clouds,0.0,0
76,Maceio,BR,-9.67,-35.74,77.0,73,20,5.82,few clouds,0.0,0
77,Ribeira Grande,PT,38.52,-28.7,71.6,78,20,13.87,few clouds,0.0,0
78,Ostrovnoy,RU,68.05,39.51,48.11,91,100,7.07,overcast clouds,0.0,0
79,Luderitz,NA,-26.65,15.16,55.4,93,3,1.12,clear sky,0.0,0
80,Nome,US,64.5,-165.41,64.0,77,1,6.93,clear sky,0.0,0
81,Vila Velha,BR,-20.33,-40.29,77.0,73,38,13.87,scattered clouds,0.0,0
82,Santa Rosalia,MX,27.32,-112.28,94.3,32,0,2.77,clear sky,0.0,0
83,Saint George,US,37.1,-113.58,109.99,12,1,4.7,clear sky,0.0,0
84,Adrar,MR,20.5,-10.07,96.4,28,31,7.43,scattered clouds,0.0,0
85,Griffith,US,41.53,-87.42,77.0,60,40,14.99,scattered clouds,0.0,0
86,Yago,MX,21.83,-105.07,73.4,83,90,6.93,overcast clouds,0.0,0
87,Komsomolskiy,UZ,40.43,71.72,75.2,53,100,2.24,overcast clouds,0.0,0
88,Puerto Ayora,EC,-0.74,-90.35,70.0,84,88,1.99,overcast clouds,0.0,0
89,Mattru,SL,7.62,-11.83,72.5,92,96,3.18,overcast clouds,0.0,0
90,Ketchikan,US,55.34,-131.65,59.0,77,90,8.05,overcast clouds,0.0,0
91,Milkovo,RU,54.72,158.62,58.86,84,100,1.25,overcast clouds,0.0,0
92,Taybad,IR,34.74,60.78,75.04,22,3,12.39,clear sky,0.0,0
93,Castro,BR,-24.79,-50.01,62.22,74,4,7.76,clear sky,0.0,0
94,Banff,CA,51.18,-115.57,63.97,28,1,17.58,clear sky,0.0,0
95,San Jose Del Guaviare,CO,2.57,-72.65,80.92,85,49,3.56,moderate rain,1.65,0
96,Belaya Gora,RU,68.53,146.42,70.7,47,100,6.91,overcast clouds,0.0,0
97,Ust-Nera,RU,64.57,143.2,70.57,47,100,6.73,overcast clouds,0.0,0
98,Waingapu,ID,-9.66,120.26,73.99,84,88,9.22,overcast clouds,0.0,0
99,Butaritari,KI,3.07,172.79,83.35,77,42,15.26,scattered clouds,0.0,0
100,Khatanga,RU,71.97,102.5,54.72,77,100,14.74,overcast clouds,0.0,0
101,Tautira,PF,-17.73,-149.15,84.2,62,40,3.36,scattered clouds,0.0,0
102,Angoche,MZ,-16.23,39.91,72.25,81,0,7.87,clear sky,0.0,0
103,Luanda,AO,-8.84,13.23,69.31,86,12,9.06,few clouds,0.0,0
104,Aripuana,BR,-9.17,-60.63,90.43,41,37,1.43,scattered clouds,0.0,0
105,Malinovoye Ozero,RU,51.68,79.78,65.73,74,99,2.59,overcast clouds,0.0,0
106,Great Falls,US,47.5,-111.3,77.0,25,1,25.28,clear sky,0.0,0
107,Lichinga,MZ,-13.31,35.24,58.53,80,49,10.47,scattered clouds,0.0,0
108,Yellowknife,CA,62.46,-114.35,66.2,59,75,8.05,broken clouds,0.0,0
109,Port Alfred,ZA,-33.59,26.89,58.64,36,0,11.36,clear sky,0.0,0
110,Sabha,LY,27.04,14.43,88.84,18,3,15.12,clear sky,0.0,0
111,Cape Town,ZA,-33.93,18.42,57.2,71,75,27.51,light rain,0.76,0
112,Victoria,HK,22.29,114.16,82.0,83,17,5.01,few clouds,0.0,0
113,Tiznit,MA,29.58,-9.5,85.98,33,99,0.89,overcast clouds,0.0,0
114,San Patricio,MX,19.22,-104.7,87.8,74,40,11.41,scattered clouds,0.0,0
115,Turukhansk,RU,65.82,87.98,56.35,78,100,8.28,overcast clouds,0.0,0
116,Coihaique,CL,-45.58,-72.07,39.2,55,20,4.7,few clouds,0.0,0
117,Barrow,US,71.29,-156.79,37.4,86,90,6.93,overcast clouds,0.0,0
118,Sakakah,SA,29.97,40.21,93.2,13,0,6.93,clear sky,0.0,0
119,Ruwi,OM,23.6,58.55,91.4,75,43,2.24,scattered clouds,0.0,0
120,Kaitangata,NZ,-46.28,169.85,37.99,80,6,8.01,clear sky,0.0,0
121,Asau,RO,46.43,26.4,54.0,88,100,4.14,light rain,0.53,0
122,Tulun,RU,54.56,100.58,52.56,79,19,2.1,few clouds,0.0,0
123,Orje,NO,59.48,11.66,57.99,84,2,3.2,clear sky,0.0,0
124,Churapcha,RU,62.0,132.43,69.66,85,50,5.19,light rain,0.17,0
125,Ucluelet,CA,48.93,-125.55,62.6,67,40,14.99,scattered clouds,0.0,0
126,Codrington,AU,-38.27,141.97,43.77,90,0,3.49,clear sky,0.0,0
127,Saldanha,ZA,-33.01,17.94,57.2,76,33,12.75,scattered clouds,0.0,0
128,Blackwater,AU,-23.58,148.88,50.95,59,47,8.3,scattered clouds,0.0,0
129,Geraldton,AU,-28.77,114.6,53.6,58,0,14.99,clear sky,0.0,0
130,Poltavka,RU,54.37,71.76,60.33,77,29,6.69,scattered clouds,0.0,0
131,Thunder Bay,CA,48.4,-89.32,77.0,50,40,6.93,scattered clouds,0.0,0
132,Vila Franca Do Campo,PT,37.72,-25.43,69.8,68,75,9.17,broken clouds,0.0,0
133,Ambon,ID,-3.7,128.18,78.3,86,38,16.53,light rain,0.54,0
134,Lavrentiya,RU,65.58,-171.0,45.97,75,5,5.17,clear sky,0.0,0
135,Beringovskiy,RU,63.05,179.32,50.54,82,99,10.29,overcast clouds,0.0,0
136,Labuhan,ID,-6.88,112.21,75.38,86,79,7.09,broken clouds,0.0,0
137,Richards Bay,ZA,-28.78,32.04,56.8,69,0,7.05,clear sky,0.0,0
138,Darnah,LY,32.77,22.64,74.95,83,0,19.3,clear sky,0.0,0
139,Port Blair,IN,11.67,92.75,81.91,80,100,13.11,overcast clouds,0.0,0
140,Robat Karim,IR,35.48,51.08,86.0,25,75,9.17,broken clouds,0.0,0
141,Talnakh,RU,69.49,88.4,53.6,93,75,11.18,broken clouds,0.0,0
142,Lingao,CN,19.91,109.69,80.35,82,0,7.0,clear sky,0.0,0
143,Vardo,NO,70.37,31.11,46.4,93,75,6.93,broken clouds,0.0,0
144,Maniitsoq,GL,65.42,-52.9,48.65,71,99,14.9,overcast clouds,0.0,0
145,Mbour,SN,14.42,-16.96,80.6,83,40,3.36,light rain,0.0,0
146,Naze,JP,28.37,129.48,80.6,94,40,3.36,scattered clouds,0.0,0
147,Oksovskiy,RU,62.61,39.9,53.02,87,85,1.59,overcast clouds,0.0,0
148,Turinsk,RU,58.05,63.7,63.43,75,0,6.62,clear sky,0.0,0
149,Castanheira De Pera,PT,40.01,-8.21,73.4,64,0,3.36,clear sky,0.0,0
150,Byron Bay,AU,-28.65,153.62,55.4,93,99,2.24,overcast clouds,0.0,0
151,Asosa,ET,10.07,34.53,59.95,100,100,0.54,light rain,0.97,0
152,Broken Hill,AU,-31.95,141.43,41.0,93,75,9.17,broken clouds,0.0,0
153,Laguna,US,38.42,-121.42,102.99,20,1,5.32,clear sky,0.0,0
154,Upernavik,GL,72.79,-56.15,42.1,83,98,9.89,overcast clouds,0.0,0
155,Bose,IT,45.46,8.01,70.0,74,0,5.01,clear sky,0.0,0
156,Kupang,ID,-10.17,123.58,75.49,80,95,11.79,overcast clouds,0.0,0
157,Yumen,CN,40.28,97.2,73.35,24,100,5.37,overcast clouds,0.0,0
